OBJECTID,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,SHAPE_Length,SHAPE_Area
1,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{39C3017C-A652-4148-809E-EDCAA545268A},301,PERI,Lands - http://landsnet.nps.gov/tractsnet/documents/PERI/Metadata/peri_metadata.xml,Pea Ridge National Military Park,2023/09/22 00:00:00+00,AR,MW,53246,National Military Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224526,Pea Ridge,29175.1134055151,27683239.2187726
2,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{1D219B03-392C-42A9-A077-EDF4EFC862D4},1,BOST,Lands - http://landsnet.nps.gov/tractsnet/documents/BOST/Metadata/bost_metadata.xml,Boston National Historical Park,2015/02/09 00:00:00+00,MA,NE,600140,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221816,Boston,7018.5607701382,325688.165998331
3,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{CABB6A31-EF99-44C4-AD42-FA0715E2F2CA},2,MAVA,Lands - http://landsnet.nps.gov/tractsnet/documents/MAVA/Metadata/mava_metadata.xml,Martin Van Buren National Historic Site,2012/07/18 00:00:00+00,NY,NE,1888943,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188828,Martin Van Buren,11384.9702511987,2202209.61402605
4,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{1CD15DD7-E2A7-43EE-8F73-DBA16B02C4F5},3,SPAR,Lands - http://landsnet.nps.gov/tractsnet/documents/SPAR/Metadata/spar_metadata.xml,Springfield Armory National Historic Site,2011/10/18 00:00:00+00,MA,NE,1888963,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180629,Springfield Armory,2507.49256607132,396708.946642827
5,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{A46424CC-C4A5-4C57-B241-9101999D01F3},4,ACAD,Unofficial Boundary of Acadia National Park.,Acadia National Park,2013/12/18 00:00:00+00,ME,NE,578853,National Park,Park,Preliminary data. Contact the Land Resources Program for additional information.,Acadia,541137.318066783,274779310.818508
6,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{CC136789-2825-4D35-B965-9315A18F233A},5,SACR,Lands - http://landsnet.nps.gov/tractsnet/documents/SACR/Metadata/sacr_metadata.xml,Saint Croix Island International Historic Site,2016/06/20 00:00:00+00,ME,NE,581971,International Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2230262,Saint Croix Island,987.300011783059,54060.7289578572
7,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{72E8B8BA-AF61-4411-A5A6-69B16FE23916},6,ADAM,Lands - http://landsnet.nps.gov/tractsnet/documents/ADAM/Metadata/adam_metadata.xml,Adams National Historical Park,2009/06/05 00:00:00+00,MA,NE,1888899,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048140,Adams,2163.81488530874,100799.851989345
8,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{7202FE08-9FC8-47D4-A98B-398935B4C20A},7,JOFI,Lands - http://landsnet.nps.gov/tractsnet/documents/JOFI/Metadata/jofi_metadata.xml,John Fitzgerald Kennedy National Historic Site,2010/10/28 00:00:00+00,MA,NE,607138,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171834,John F Kennedy,104.182277426202,644.639845812889
9,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{E8B0ED40-35A7-4B57-ACA9-5392642696BB},8,MIMA,Lands - http://landsnet.nps.gov/tractsnet/documents/MIMA/Metadata/mima_metadata.xml,Minute Man National Historical Park,2018/02/22 00:00:00+00,MA,NE,600051,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2167740,Minute Man,36417.1256415073,7614108.74646694
10,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{D1011508-85AA-4FDF-AE70-4251C7176587},9,SAMA,Lands - http://landsnet.nps.gov/tractsnet/documents/SAMA/Metadata/sama_metadata.xml,Salem Maritime National Historic Site,2010/03/25 00:00:00+00,MA,NE,1888961,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1049237,Salem Maritime,3446.50944258188,70391.6053794402
11,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{99E15352-2F52-4F89-B001-48A479AD8035},10,SAIR,Lands - http://landsnet.nps.gov/tractsnet/documents/SAIR/Metadata/sair_metadata.xml,Saugus Iron Works National Historic Site,2014/06/09 00:00:00+00,MA,NE,600017,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210711,Saugus Iron Works,2038.4528735016,94291.5233206717
12,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{1B8BDF0D-1A6A-47FE-8B7F-9A5BFAE15D49},11,CACO,Lands - http://landsnet.nps.gov/tractsnet/documents/CACO/Metadata/caco_metadata.xml,Cape Cod National Seashore,2016/03/24 00:00:00+00,MA,NE,606900,National Seashore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229062,Cape Cod,261994.390347413,324147362.438692
13,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{2B7DAEC3-9A0D-439E-BBA0-C476C3282DB5},12,ELRO,Lands - http://landsnet.nps.gov/tractsnet/documents/ELRO/Metadata/elro_metadata.xml,Eleanor Roosevelt National Historic Site,2011/04/22 00:00:00+00,NY,NE,1888914,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171829,Eleanor Roosevelt,5804.85030141976,1291438.34728183
14,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{8F65C7D7-7FBC-42E4-8CDF-60D1FFD9E53E},13,LONG,Lands - http://landsnet.nps.gov/tractsnet/documents/LONG/Metadata/long_metadata.xml,Longfellow House-Washington's Headquarters National Historic Site,2011/04/18 00:00:00+00,MA,NE,2733437,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180626,Longfellow,488.006767951491,14414.0067431454
15,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{7D3E6B36-A392-458C-88D2-CA02A755A186},15,GATE,Lands - http://landsnet.nps.gov/tractsnet/documents/GATE/Metadata/gate_metadata.xml,Gateway National Recreation Area,2015/12/31 00:00:00+00,NJ,NE,882894,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225694,Gateway,146371.440565888,190685391.199376
16,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{88FD21B9-673C-480E-B176-A635F4B5C049},16,SAPA,Lands - http://landsnet.nps.gov/tractsnet/documents/SAPA/Metadata/sapa_metadata.xml,Saint Paul's Church National Historic Site,2007/02/09 00:00:00+00,NY,NE,1888959,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048042,Saint Paul's Church,866.346505661578,43929.1967522087
17,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{8DD4FFED-46CC-4A1D-A3A2-EF548D26408E},17,THRI,Lands - http://landsnet.nps.gov/tractsnet/documents/THRI/Metadata/thri_metadata.xml,Theodore Roosevelt Inaugural National Historic Site,2015/08/28 00:00:00+00,NY,NE,2035603,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224527,Theodore Roosevelt Inaugural,431.649729196901,8874.4484265805
18,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{1FD29CA0-EA56-405F-B296-69B68A71550B},18,FOST,Lands - http://landsnet.nps.gov/tractsnet/documents/FOST/Metadata/fost_metadata.xml,Fort Stanwix National Monument,2010/07/08 00:00:00+00,NY,NE,1888919,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165601,Fort Stanwix,1435.74019758755,127551.029551123
19,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{FB5807D4-0F3B-4EC2-9D99-EA1455EAEC2C},19,FIIS,Unofficial Boundary of Fire Island National Seashore.,Fire Island National Seashore,2013/12/18 00:00:00+00,NY,NE,970121,National Seashore,Region,Preliminary data. Contact the Land Resources Program for additional information.,Fire Island,140263.573378074,138877039.096375
20,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{890ECCCE-5CDB-4BB8-966A-88E7D1B251E6},20,HOFR,Lands - http://landsnet.nps.gov/tractsnet/documents/HOFR/Metadata/hofr_metadata.xml,Home of Franklin D. Roosevelt National Historic Site,2006/03/07 00:00:00+00,NY,NE,1888929,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047983,Home of Franklin D Roosevelt,19536.1432849485,6542741.7277879
21,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{F3705B20-DC1F-41A4-A260-88643DD25E3D},21,VAMA,Lands - http://landsnet.nps.gov/tractsnet/documents/VAMA/Metadata/vama_metadata.xml,Vanderbilt Mansion National Historic Site,2015/07/24 00:00:00+00,NY,NE,968452,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224528,Vanderbilt Mansion,8133.1144305161,1534826.24550613
22,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{ABD7A39B-8242-4F8A-83A5-1C69CA43651E},22,SARA,Lands - http://landsnet.nps.gov/tractsnet/documents/SARA/Metadata/sara_metadata.xml,Saratoga National Historical Park,2021/03/23 00:00:00+00,NY,NE,964487,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215979,Saratoga,38311.5145956948,26899681.603125
